Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,40.529999,40.529999,39.330002,39.570000,39.570000,329100
2020-02-19,39.950001,40.270000,39.494999,39.820000,39.820000,238900
2020-02-20,39.169998,39.200001,38.200001,38.500000,38.500000,482000
2020-02-21,37.549999,38.389999,37.465000,37.830002,37.830002,533900
2020-02-24,36.049999,36.619999,35.410000,36.070000,36.070000,409700
2020-02-25,36.070000,36.230000,34.930000,35.000000,35.000000,401700
2020-02-26,34.680000,34.889999,32.270000,32.549999,32.549999,1667900
2020-02-27,30.330000,32.355000,29.770000,30.309999,30.309999,1462200
2020-02-28,28.620001,29.969999,28.344999,29.500000,29.500000,1189300
2020-03-02,30.309999,30.430000,29.510000,30.049999,30.049999,1257200
2020-03-03,30.059999,31.100000,28.990000,29.150000,29.150000,1136000
2020-03-04,29.700001,30.410000,28.600000,29.260000,29.260000,1271700
2020-03-05,27.420000,27.500000,24.510000,24.889999,24.889999,1507800
2020-03-06,23.010000,25.750000,22.860001,24.660000,24.660000,1649300
2020-03-09,21.799999,22.559999,17.920000,20.059999,20.059999,1228700
2020-03-10,22.459999,23.260000,20.850000,23.150000,23.150000,911100
2020-03-11,22.260000,22.590000,18.040001,19.170000,19.170000,1455900
2020-03-12,14.840000,16.580000,11.900000,12.420000,12.420000,3591000
2020-03-13,15.690000,15.780000,12.840000,15.520000,15.520000,2419000
2020-03-16,12.500000,12.570000,9.190000,9.770000,9.770000,2556800
2020-03-17,9.350000,9.670000,7.100000,9.460000,9.460000,2826400
2020-03-18,7.410000,7.940000,5.370000,6.010000,6.010000,2281900
2020-03-19,5.870000,7.830000,5.300000,7.070000,7.070000,2540100
2020-03-20,8.300000,10.570000,7.300000,7.740000,7.740000,2059000
2020-03-23,7.950000,8.380000,7.010000,7.910000,7.910000,1419100
2020-03-24,8.410000,10.450000,8.410000,9.780000,9.780000,1985000
2020-03-25,10.760000,12.570000,10.470000,11.490000,11.490000,2434300
2020-03-26,12.230000,14.160000,11.570000,12.330000,12.330000,2772800
2020-03-27,10.940000,12.910000,10.751000,11.440000,11.440000,1365900
2020-03-30,12.050000,12.680000,10.640000,11.060000,11.060000,904800
2020-03-31,11.040000,11.290000,9.891000,10.190000,10.190000,1033200
2020-04-01,9.170000,9.250000,8.210000,8.420000,8.420000,1023000
2020-04-02,8.620000,9.080000,8.185000,8.410000,8.410000,746300
2020-04-03,7.960000,8.170000,7.120000,7.920000,7.920000,1170300
2020-04-06,8.510000,9.080000,8.340000,8.870000,8.870000,1064900
2020-04-07,10.230000,10.360000,8.880000,8.910000,8.910000,1624100
2020-04-08,8.800000,9.850000,8.790000,9.710000,9.710000,1221100
2020-04-09,10.000000,10.430000,9.390000,9.770000,9.770000,1763000
2020-04-13,9.590000,9.627000,9.000000,9.370000,9.370000,866200
2020-04-14,9.340000,9.850000,9.240000,9.480000,9.480000,2068400
2020-04-15,9.230000,9.654000,9.090000,9.450000,9.450000,1173700
2020-04-16,9.630000,9.650000,9.190000,9.300000,9.300000,901900
2020-04-17,9.740000,9.850000,9.120000,9.340000,9.340000,998000
2020-04-20,9.060000,9.500000,8.930000,9.410000,9.410000,904800
2020-04-21,9.150000,9.165000,8.165000,8.510000,8.510000,996100
2020-04-22,9.220000,9.250000,8.820000,8.950000,8.950000,1340400
2020-04-23,8.950000,9.120000,8.760000,8.830000,8.830000,992600
2020-04-24,8.420000,8.490000,7.250000,7.300000,7.300000,3265700
2020-04-27,7.580000,7.680000,7.300000,7.420000,7.420000,2325300
2020-04-28,7.700000,8.870000,7.690000,8.740000,8.740000,3240400
2020-04-29,9.010000,9.760000,9.010000,9.740000,9.740000,3212500
2020-04-30,9.500000,9.580000,9.000000,9.560000,9.560000,2025200
2020-05-01,9.050000,9.108000,8.080000,8.640000,8.640000,1849500
2020-05-04,8.370000,8.450000,7.970000,8.260000,8.260000,1363600
2020-05-05,8.420000,8.550000,8.040000,8.120000,8.120000,1183900
2020-05-06,7.800000,7.960000,7.620000,7.790000,7.790000,1060700
2020-05-07,7.570000,7.640000,7.010000,7.120000,7.120000,2584900
2020-05-08,7.140000,7.324000,7.055000,7.300000,7.300000,1847900
2020-05-11,6.800000,7.000000,6.550000,6.820000,6.820000,1888900
2020-05-12,7.150000,7.190000,6.410000,6.430000,6.430000,1582600
2020-05-13,6.530000,6.560000,6.120000,6.200000,6.200000,2605300
2020-05-14,6.020000,6.090000,5.780000,5.960000,5.960000,4296800
2020-05-15,5.910000,6.110000,5.600000,5.640000,5.640000,4507900
2020-05-18,6.190000,7.580000,6.110000,7.480000,7.480000,5294100
2020-05-19,7.330000,7.830000,6.630000,7.000000,7.000000,5825100
2020-05-20,7.480000,8.830000,7.340000,8.040000,8.040000,6342900
2020-05-21,8.650000,8.870000,8.125000,8.140000,8.140000,3252800
2020-05-22,8.100000,8.130000,7.760000,7.960000,7.960000,1633600
2020-05-26,8.640000,8.670000,8.100000,8.180000,8.180000,2671700
2020-05-27,8.380000,8.400000,7.870000,8.380000,8.380000,2416800
2020-05-28,8.200000,8.500000,8.010000,8.160000,8.160000,2018100
2020-05-29,7.880000,8.060000,7.720000,7.980000,7.980000,3030500
2020-06-01,8.160000,8.640000,8.060000,8.410000,8.410000,2350900
2020-06-02,8.970000,9.670000,8.800000,9.620000,9.620000,4496300
2020-06-03,10.700000,11.670000,10.400000,10.930000,10.930000,8793600
2020-06-04,10.630000,11.525000,10.600000,11.140000,11.140000,5960500
2020-06-05,12.250000,13.170000,12.250000,12.800000,12.800000,8424300
2020-06-08,14.240000,17.309999,14.200000,17.299999,17.299999,15588000
2020-06-09,15.680000,18.280001,15.350000,15.710000,15.710000,13245700
2020-06-10,16.190001,16.190001,13.860000,14.080000,14.080000,11347700
2020-06-11,11.120000,12.730000,10.500000,11.010000,11.010000,9007400
2020-06-12,12.960000,13.880000,12.450000,13.110000,13.110000,10844000
2020-06-15,11.750000,13.360000,11.420000,12.930000,12.930000,11730500
2020-06-16,14.110000,14.400000,12.750000,12.930000,12.930000,9563000
2020-06-17,12.900000,13.160000,12.490000,12.850000,12.850000,4474500
2020-06-18,12.360000,12.890000,12.160000,12.240000,12.240000,3652600
2020-06-19,12.660000,12.660000,11.980000,12.130000,12.130000,4470500
2020-06-22,12.350000,12.350000,11.570000,11.600000,11.600000,4884400
2020-06-23,12.130000,13.310000,11.732000,13.040000,13.040000,5453800
2020-06-24,12.530000,12.694000,11.505000,11.830000,11.830000,4063800
2020-06-25,11.880000,12.350000,11.450000,11.840000,11.840000,3484900
2020-06-26,11.590000,11.660000,10.914000,10.950000,10.950000,3043600
2020-06-29,11.150000,11.500000,10.530000,11.380000,11.380000,3595200
2020-06-30,11.120000,11.271000,10.950000,11.180000,11.180000,2423800
2020-07-01,11.360000,12.050000,11.230000,11.610000,11.610000,3645600
2020-07-02,12.200000,12.330000,11.520000,11.610000,11.610000,2307300
2020-07-06,12.230000,12.330000,12.000000,12.300000,12.300000,2157000
2020-07-07,12.260000,12.560000,11.900000,11.930000,11.930000,2163800
2020-07-08,12.190000,12.240000,11.920000,12.030000,12.030000,1413600
2020-07-09,12.180000,12.240000,11.640000,11.670000,11.670000,1957300
2020-07-10,11.600000,12.420000,11.480000,12.280000,12.280000,2085300
2020-07-13,12.640000,12.690000,11.740000,11.740000,11.740000,1719200
2020-07-14,11.570000,12.270000,11.330000,12.240000,12.240000,1677900
2020-07-15,12.690000,12.760000,12.290000,12.590000,12.590000,3135500
2020-07-16,12.420000,12.645000,12.270000,12.380000,12.380000,1367700
2020-07-17,12.340000,12.370000,12.030000,12.070000,12.070000,1510200
